src,dst,bytes,labels
144.195.12.31,172.22.1.34,69,0
172.22.1.34,144.195.12.31,69,0
172.22.1.34,144.195.12.31,1115,1
172.22.1.34,144.195.12.31,1107,1
172.22.1.34,144.195.12.31,1106,1
172.22.1.34,144.195.12.31,1106,1
172.22.1.34,144.195.12.31,1106,1
144.195.12.31,172.22.1.34,69,0
172.22.1.34,144.195.12.31,1106,1
172.22.1.34,144.195.12.31,639,1
144.195.12.31,172.22.1.34,69,0
144.195.12.31,172.22.1.34,60,0
144.195.12.31,172.22.1.34,104,0
172.22.1.34,144.195.12.31,348,0
144.195.12.31,172.22.1.34,69,0
172.22.1.34,144.195.12.31,54,0
144.195.12.31,172.22.1.34,69,0
144.195.12.31,172.22.1.34,129,0
172.22.1.34,144.195.12.31,363,0
172.22.1.34,144.195.12.31,69,0
144.195.12.31,172.22.1.34,76,0
144.195.12.31,172.22.1.34,69,0
172.22.1.34,144.195.12.31,69,0
144.195.12.31,172.22.1.34,69,0
172.22.1.34,144.195.12.31,69,0
144.195.12.31,172.22.1.34,69,0
172.22.1.34,144.195.12.31,69,0
144.195.12.31,172.22.1.34,69,0
172.22.1.34,144.195.12.31,69,0
3.23.32.3,172.22.1.34,85,0
172.22.1.34,3.23.32.3,89,0
144.195.12.31,172.22.1.34,69,0
172.22.1.34,144.195.12.31,76,0
144.195.12.31,172.22.1.34,76,0
172.22.1.34,144.195.12.31,69,0
144.195.12.31,172.22.1.34,69,0
172.22.1.34,144.195.12.31,69,0
144.195.12.31,172.22.1.34,69,0
3.23.32.3,172.22.1.34,60,0
144.195.12.31,172.22.1.34,69,0
144.195.12.31,172.22.1.34,69,0
172.22.1.34,144.195.12.31,358,0
144.195.12.31,172.22.1.34,76,0
172.22.1.34,144.195.12.31,92,0
144.195.12.31,172.22.1.34,131,0
172.22.1.34,144.195.12.31,76,0
144.195.12.31,172.22.1.34,69,0
172.22.1.34,144.195.12.31,69,0
144.195.12.31,172.22.1.34,69,0
144.195.12.31,172.22.1.34,103,0
172.22.1.34,144.195.12.31,121,0
172.22.1.34,144.195.12.31,69,0
144.195.12.31,172.22.1.34,92,0
144.195.12.31,172.22.1.34,69,0
172.22.1.34,144.195.12.31,54,0
172.22.1.34,144.195.12.31,69,0
144.195.12.31,172.22.1.34,69,0
144.195.12.31,172.22.1.34,69,0
172.22.1.34,144.195.12.31,69,0
172.22.1.34,144.195.12.31,69,0
144.195.12.31,172.22.1.34,76,0
172.22.1.34,200.121.128.90,83,0
200.121.128.90,172.22.1.34,79,0
144.195.12.31,172.22.1.34,60,0
144.195.12.31,172.22.1.34,69,0
172.22.1.34,200.121.128.90,54,0
172.22.1.34,144.195.12.31,76,0
172.22.1.34,144.195.12.31,589,1
172.22.1.34,144.195.12.31,69,0
172.22.1.34,144.195.12.31,123,0
144.195.12.31,172.22.1.34,69,0
144.195.12.31,172.22.1.34,129,0
172.22.1.34,144.195.12.31,69,0
172.22.1.34,144.195.12.31,112,0
172.22.1.34,144.195.12.31,112,0
172.22.1.34,144.195.12.31,112,0
144.195.12.31,172.22.1.34,76,0
172.22.1.34,144.195.12.31,356,0
172.22.1.34,144.195.12.31,112,0
172.22.1.34,144.195.12.31,112,0
172.22.1.34,144.195.12.31,112,0
144.195.12.31,172.22.1.34,69,0
172.22.1.34,144.195.12.31,356,0
172.22.1.34,144.195.12.31,104,0
144.195.12.31,172.22.1.34,133,0
172.22.1.34,144.195.12.31,151,0
144.195.12.31,172.22.1.34,123,0
172.22.1.34,144.195.12.31,111,0
172.22.1.34,144.195.12.31,101,0
172.22.1.34,144.195.12.31,101,0
172.22.1.34,144.195.12.31,123,0
172.22.1.34,144.195.12.31,123,0
172.22.1.34,144.195.12.31,104,0
144.195.12.31,172.22.1.34,69,0
172.22.1.34,144.195.12.31,348,0
172.22.1.34,144.195.12.31,104,0
172.22.1.34,144.195.12.31,104,0
172.22.1.34,144.195.12.31,104,0
